Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-005:PCT-QL-010:PCT-002:en:154,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 3:4. Express the second part as a percentage of the whole.,57.14%,57.14% + 1,57.14% - 1,-57.14%,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=3+4=7 The second part accounts for 4 out of these 7 parts. ? Share fraction=(4/7) Convert that share into a percentage. ? Required percent=(4/7)?100=57.14% Therefore the second part corresponds to 57.14%. ? second part=57.14%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:155,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 18% of the income as savings. What percent of the income is spent on expenditure?,82%,82% - 1,82% + 1,-82%,A,The full quantity is always 100%. ? savings+expenditure=100% So subtract 18% from 100% to get the remaining percentage. ? expenditure=100%-18%=82% Therefore the expenditure percentage is 82%. ? expenditure=82%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:156,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,30% of the monthly budget goes to food expenses and 15% goes to transport expenses. Find the percentage difference.,15% + 1,15% - 1,15%,-15%,C,"Both parts are already given as percentages of the same whole. ? food expenses=30%, transport expenses=15% So subtract the smaller percentage from the larger percentage. ? Difference=30%-15%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:157,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 20000 is divided as 25% rent, 30% food, and 45% transport. Find the amount spent on rent.",5000 + 1,5000 - 1,5000,-5000,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 20000 So the value corresponding to 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now multiply the value of 1% by 25 to find the rent. ? 25%=200?25=5000 Therefore the rent count is Rs. 5000. ? rent=5000,,
PCT-CP-009:PCT-QL-018:PCT-002:en:158,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 20% goes to marketing, 20% to salaries, and 20% to rent. Find the missing percentage for other expenses.",40% + 1,40% - 1,40%,-40%,C,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 20%+20%+20%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:159,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 40000, 35% is spent on food, 25% on rent, 15% on transport, and the remaining 25% on education. Find the amount spent on education.",10000,10000 - 1,10000 + 1,-10000,A,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 40000 So the value corresponding to 1% is obtained by dividing Rs. 40000 by 100. ? 1%=(40000/100)=400 Now multiply the value of 1% by the percentage for education. ? 25%=400?25=10000 Therefore the value for education is Rs. 10000. ? education=10000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:160,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"30% of the students are girls. If the number of girls is 216, find the total number of students.",-720,720 - 1,720,720 + 1,C,"Here, 30% of the students equals 216. ? 30%?216 To determine the value of 1%, divide 216 by 30. ? 1%=(216/30)=7.2 Now multiply the value of 1% by 100 to get the whole. ? 100%=7.2?100=720 Therefore the total students is 720. ? Total students=720",,
PCT-CP-002:PCT-QL-003:PCT-002:en:161,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 20% of the income equals Rs. 8000, find 60% of the same income.",-24000,24000 - 1,24000,24000 + 1,C,"Here, 20% of the income equals Rs. 8000. ? 20%?Rs. 8000 First find the value corresponding to 1% by dividing Rs. 8000 by 20. ? 1%=(8000/20)=400 Now multiply the value of 1% by 60 to get 60%. ? 60%=400?60=24000 Therefore 60% of the income is Rs. 24000. ? expenditure=24000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:162,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 600 students, 240 are girls. Find what percent of the students are girls.",-40%,40% - 1,40%,40% + 1,C,The whole students corresponds to 100%. ? 100%?600 So 1% is obtained by dividing 600 by 100. ? 1%=(600/100)=6 Now compare 240 with the value of 1% to get the required percentage. ? Required percent=(240/6)=40% Therefore 240 is 40% of the students. ? girls=40%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:163,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 30% of the salary is Rs. 3000, then Rs. 1500 is what percent of the same salary?",-15%,15%,15% - 1,15% + 1,B,"Here, 30% of the salary equals Rs. 3000. ? 30%?Rs. 3000 To determine the value of 1%, divide Rs. 3000 by 30. ? 1%=(3000/30)=100 Now compare Rs. 1500 with the value of 1% to find the required percentage. ? Required percent=(1500/100)=15% Therefore Rs. 1500 is 15% of the salary. ? Required percent=15%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:164,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 4:5. Find the percentage corresponding to the first part.,44.44% - 1,44.44%,-44.44%,44.44% + 1,B,First add the ratio parts to get the whole number of equal parts. ? Total parts=4+5=9 The first part accounts for 4 out of these 9 parts. ? Share fraction=(4/9) Convert that share into a percentage. ? Required percent=(4/9)?100=44.44% Therefore the first part corresponds to 44.44%. ? first part=44.44%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:165,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 30% of the class are girls, find the percentage of boys.",70% + 1,70% - 1,70%,-70%,C,The full quantity is always 100%. ? girls+boys=100% So subtract 30% from 100% to get the remaining percentage. ? boys=100%-30%=70% Therefore the boys percentage is 70%. ? boys=70%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:166,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,50% of the students are boys and 15% are girls. Find the difference between these percentages.,35%,35% - 1,35% + 1,-35%,A,"Both parts are already given as percentages of the same whole. ? boys=50%, girls=15% So subtract the smaller percentage from the larger percentage. ? Difference=50%-15%=35% Therefore the percentage difference is 35%. ? Difference=35%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:167,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 800 students is divided as 40% girls, 35% boys, and 25% other students. Find the number of girls.",320,320 - 1,320 + 1,-320,A,The whole students corresponds to 100%. ? 100%?800 So the value corresponding to 1% is obtained by dividing 800 by 100. ? 1%=(800/100)=8 Now multiply the value of 1% by 40 to find the girls. ? 40%=8?40=320 Therefore the girls count is 320. ? girls=320,,
PCT-CP-009:PCT-QL-017:PCT-002:en:168,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.",35% + 1,35% - 1,35%,-35%,C,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 30%+25%+10%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:169,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 8000, 45% are males, 35% are females, and 20% are children. Find the number of children.",-1600,1600 + 1,1600 - 1,1600,D,The whole population corresponds to 100%. ? 100%?8000 So the value corresponding to 1% is obtained by dividing 8000 by 100. ? 1%=(8000/100)=80 Now multiply the value of 1% by the percentage for children. ? 20%=80?20=1600 Therefore the value for children is 1600. ? children=1600,,
PCT-CP-001:PCT-QL-002:PCT-002:en:170,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"15% of the monthly income is kept aside as savings. If these savings are Rs. 5400, find the total monthly income.",-36000,36000 + 1,36000 - 1,36000,D,"Here, 15% of the monthly income equals Rs. 5400. ? 15%?Rs. 5400 To determine the value of 1%, divide Rs. 5400 by 15. ? 1%=(5400/15)=360 Now multiply the value of 1% by 100 to get the whole. ? 100%=360?100=36000 Therefore the total monthly income is Rs. 36000. ? Total monthly income=36000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:171,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 40% of the students equals 336, how many students correspond to 50%?",420 + 1,420 - 1,-420,420,D,"Here, 40% of the students equals 336. ? 40%?336 First find the value corresponding to 1% by dividing 336 by 40. ? 1%=(336/40)=8.4 Now multiply the value of 1% by 50 to get 50%. ? 50%=8.4?50=420 Therefore 50% of the students is 420. ? students=420",,
PCT-CP-003:PCT-QL-006:PCT-002:en:172,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 4000 as savings out of a total income of Rs. 40000. Find the percentage of savings.,-10%,10% + 1,10% - 1,10%,D,The whole income corresponds to 100%. ? 100%?Rs. 40000 So 1% is obtained by dividing Rs. 40000 by 100. ? 1%=(40000/100)=400 Now compare Rs. 4000 with the value of 1% to get the required percentage. ? Required percent=(4000/400)=10% Therefore Rs. 4000 is 10% of the income. ? savings=10%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:173,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 25% of the books equals 150, what percent of the books is 210?",-35%,35% + 1,35% - 1,35%,D,"Here, 25% of the books equals 150. ? 25%?150 To determine the value of 1%, divide 150 by 25. ? 1%=(150/25)=6 Now compare 210 with the value of 1% to find the required percentage. ? Required percent=(210/6)=35% Therefore 210 is 35% of the books. ? Required percent=35%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:174,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 5:1. Express the second part as a percentage of the whole.,16.67% + 1,-16.67%,16.67%,16.67% - 1,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=5+1=6 The second part accounts for 1 out of these 6 parts. ? Share fraction=(1/6) Convert that share into a percentage. ? Required percent=(1/6)?100=16.67% Therefore the second part corresponds to 16.67%. ? second part=16.67%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:175,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 20% of the income as savings. What percent of the income is spent on expenditure?,80% + 1,-80%,80%,80% - 1,C,The full quantity is always 100%. ? savings+expenditure=100% So subtract 20% from 100% to get the remaining percentage. ? expenditure=100%-20%=80% Therefore the expenditure percentage is 80%. ? expenditure=80%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:176,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,40% of the monthly budget goes to food expenses and 25% goes to transport expenses. Find the percentage difference.,15% + 1,-15%,15%,15% - 1,C,"Both parts are already given as percentages of the same whole. ? food expenses=40%, transport expenses=25% So subtract the smaller percentage from the larger percentage. ? Difference=40%-25%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:177,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 16000 is divided as 30% rent, 30% food, and 40% transport. Find the amount spent on rent.",4800,-4800,4800 + 1,4800 - 1,A,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 16000 So the value corresponding to 1% is obtained by dividing Rs. 16000 by 100. ? 1%=(16000/100)=160 Now multiply the value of 1% by 30 to find the rent. ? 30%=160?30=4800 Therefore the rent count is Rs. 4800. ? rent=4800,,
PCT-CP-009:PCT-QL-018:PCT-002:en:178,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 25% goes to marketing, 25% to salaries, and 10% to rent. Find the missing percentage for other expenses.",40% + 1,-40%,40%,40% - 1,C,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 25%+25%+10%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:179,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 36000, 25% is spent on food, 30% on rent, 10% on transport, and the remaining 35% on education. Find the amount spent on education.",12600,-12600,12600 + 1,12600 - 1,A,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 36000 So the value corresponding to 1% is obtained by dividing Rs. 36000 by 100. ? 1%=(36000/100)=360 Now multiply the value of 1% by the percentage for education. ? 35%=360?35=12600 Therefore the value for education is Rs. 12600. ? education=12600,,
PCT-CP-001:PCT-QL-001:PCT-002:en:180,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"45% of the students are girls. If the number of girls is 405, find the total number of students.",900 + 1,900 - 1,-900,900,D,"Here, 45% of the students equals 405. ? 45%?405 To determine the value of 1%, divide 405 by 45. ? 1%=(405/45)=9 Now multiply the value of 1% by 100 to get the whole. ? 100%=9?100=900 Therefore the total students is 900. ? Total students=900",,
PCT-CP-002:PCT-QL-003:PCT-002:en:181,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 30% of the income equals Rs. 9000, find 65% of the same income.",19500 + 1,19500 - 1,-19500,19500,D,"Here, 30% of the income equals Rs. 9000. ? 30%?Rs. 9000 First find the value corresponding to 1% by dividing Rs. 9000 by 30. ? 1%=(9000/30)=300 Now multiply the value of 1% by 65 to get 65%. ? 65%=300?65=19500 Therefore 65% of the income is Rs. 19500. ? expenditure=19500",,
PCT-CP-003:PCT-QL-005:PCT-002:en:182,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 480 students, 120 are girls. Find what percent of the students are girls.",-25%,25% - 1,25% + 1,25%,D,The whole students corresponds to 100%. ? 100%?480 So 1% is obtained by dividing 480 by 100. ? 1%=(480/100)=4.8 Now compare 120 with the value of 1% to get the required percentage. ? Required percent=(120/4.8)=25% Therefore 120 is 25% of the students. ? girls=25%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:183,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 50% of the salary is Rs. 4000, then Rs. 1600 is what percent of the same salary?",-20%,20% - 1,20% + 1,20%,D,"Here, 50% of the salary equals Rs. 4000. ? 50%?Rs. 4000 To determine the value of 1%, divide Rs. 4000 by 50. ? 1%=(4000/50)=80 Now compare Rs. 1600 with the value of 1% to find the required percentage. ? Required percent=(1600/80)=20% Therefore Rs. 1600 is 20% of the salary. ? Required percent=20%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:184,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 1:2. Find the percentage corresponding to the first part.,-33.33%,33.33% + 1,33.33% - 1,33.33%,D,First add the ratio parts to get the whole number of equal parts. ? Total parts=1+2=3 The first part accounts for 1 out of these 3 parts. ? Share fraction=(1/3) Convert that share into a percentage. ? Required percent=(1/3)?100=33.33% Therefore the first part corresponds to 33.33%. ? first part=33.33%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:185,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 45% of the class are girls, find the percentage of boys.",55%,55% + 1,-55%,55% - 1,A,The full quantity is always 100%. ? girls+boys=100% So subtract 45% from 100% to get the remaining percentage. ? boys=100%-45%=55% Therefore the boys percentage is 55%. ? boys=55%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:186,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,40% of the students are boys and 25% are girls. Find the difference between these percentages.,15% + 1,-15%,15%,15% - 1,C,"Both parts are already given as percentages of the same whole. ? boys=40%, girls=25% So subtract the smaller percentage from the larger percentage. ? Difference=40%-25%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
